Company Name,Industry,Symbol,Series,ISIN Code,Belongs_To_Indices
360ONE,Financial Services,360ONE,EQ,INE219A01012,NIFTY FINANCIAL SERVICES
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,"NIFTY ENERGY, NIFTY INDIA MANUFACTURING, NIFTY MNC"
ABC Capital Markets Ltd.,Financial Services,ABCAPITAL,EQ,INE610J01012,NIFTY FINANCIAL SERVICES
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,NIFTY METAL
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,"NIFTY COMMODITIES, NIFTY ENERGY"
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,"NIFTY COMMODITIES, NIFTY ENERGY, NIFTY INFRASTRUCTURE"
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,"NIFTY INFRASTRUCTURE, NIFTY SERVICES SECTOR"
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,"NIFTY COMMODITIES, NIFTY ENERGY, NIFTY INDIA CONSUMPTION"
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE547F01019,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE376G01013,NIFTY CONSUMER DURABLES
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,"NIFTY COMMODITIES, NIFTY INFRASTRUCTURE, NIFTY MNC"
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE801G01013,NIFTY FINANCIAL SERVICES
Aplapollo Pharmaceuticals Limited,Healthcare,APLAPOLLO,EQ,INE437C01019,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING, NIFTY METAL"
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,"NIFTY INDIA CONSUMPTION, NIFTY INFRASTRUCTURE, NIFTY SERVICES SECTOR"
Ashok Leyland Ltd.,Automobile and Auto Components,ASHOKLEY,EQ,INE208A01029,"NIFTY AUTO, NIFTY INDIA MANUFACTURING, NIFTY INFRASTRUCTURE, NIFTY MNC"
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,NIFTY INDIA CONSUMPTION
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE009A01031,NIFTY INDIA MANUFACTURING
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE406F01016,NIFTY BANK
Auropharma,Healthcare,AUROPHARMA,EQ,INE517B01014,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,"NIFTY INDIA CONSUMPTION, NIFTY SERVICES SECTOR"
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,"NIFTY BANK, NIFTY FINANCIAL SERVICES, NIFTY PRIVATE BANK, NIFTY SERVICES SECTOR"
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,"NIFTY AUTO, NIFTY INDIA CONSUMPTION, NIFTY INDIA MANUFACTURING"
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,"NIFTY FINANCIAL SERVICES, NIFTY SERVICES SECTOR"
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,"NIFTY FINANCIAL SERVICES, NIFTY SERVICES SECTOR"
Bandhan Bank Limited,Financial Services,BANDHANBNK,EQ,INE629A01019,NIFTY PRIVATE BANK
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,"NIFTY BANK, NIFTY PSU BANK"
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,NIFTY PSU BANK
Bharat Dynamics Limited,Capital Goods,BDL,EQ,INE359A01020,NIFTY INDIA MANUFACTURING
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,"NIFTY CPSE, NIFTY INDIA MANUFACTURING, NIFTY PSE"
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE144A01023,"NIFTY AUTO, NIFTY INDIA MANUFACTURING, NIFTY INFRASTRUCTURE"
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,"NIFTY COMMODITIES, NIFTY ENERGY, NIFTY INDIA MANUFACTURING, NIFTY INFRASTRUCTURE, NIFTY PSE"
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,"NIFTY INDIA CONSUMPTION, NIFTY INDIA DIGITAL, NIFTY INFRASTRUCTURE, NIFTY SERVICES SECTOR"
Bhel,Capital Goods,BHEL,EQ,INE257A01026,"NIFTY ENERGY, NIFTY INDIA MANUFACTURING, NIFTY PSE"
Biocon Limited,Healthcare,BIOCON,EQ,INE376G01024,NIFTY PHARMA
Blue Star Limited,Consumer Durables,BLUESTARCO,EQ,INE472A01038,NIFTY INDIA MANUFACTURING
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,"NIFTY AUTO, NIFTY INDIA MANUFACTURING, NIFTY MNC"
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,"NIFTY FMCG, NIFTY INDIA CONSUMPTION, NIFTY MNC"
BSE Limited,Financial Services,BSE,EQ,INE118A01024,"NIFTY FINANCIAL SERVICES, NIFTY SERVICES SECTOR"
Cams,Financial Services,CAMS,EQ,INE121A01024,NIFTY FINANCIAL SERVICES
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,"NIFTY BANK, NIFTY PSU BANK"
Cdsl,Financial Services,CDSL,EQ,INE120A01021,NIFTY FINANCIAL SERVICES
Cg Power And Industrial Solutions Limited,Capital Goods,CGPOWER,EQ,INE067A01029,"NIFTY ENERGY, NIFTY INDIA MANUFACTURING, NIFTY INFRASTRUCTURE"
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,NIFTY FINANCIAL SERVICES
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
